cnpj,base_date,financial_statement_type,currency,scale,order,start_of_period,end_of_period,id_account,account_description,value,account_status,type,period_type,ticker
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.01,Recebimento de receitas de acesso à rede e uso da marca,337627.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.02,Recebimento de dividendos,750551.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.03,Recebimento de recursos provinientes de cisão,0.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.04,Pagamento de despesas administrativas,-22741.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.05,Pagamento de despesas operacionais,0.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.06,Outros pagamentos,-494.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.07,Tributos sobre folha recolhidos,-1055.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.08,Trbutos sobre receitas,-38993.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.09,Imposto de renda e contribuição social pagos,-118169.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.10,Juros Recebidos,17866.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.11,Trbutos sobre aplicações,-2641.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.12,Recebimento de juros sobre capital proprio,32803.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.13,Recebimento de redução de capital,2940.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.02,Caixa Líquido Atividades de Investimento,0.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.02.01,Resgate de aplicações financeiras,0.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.03,Caixa Líquido Atividades de Financiamento,-24220.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.03.01,Pagamento de dividendos,-24220.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.03.02,Redução de Capital,0.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.05,Aumento (Redução) de Caixa e Equivalentes,933474.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.05.01,Saldo Inicial de Caixa e Equivalentes,249773.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.05.02,Saldo Final de Caixa e Equivalentes,1183247.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01,Caixa Líquido Atividades Operacionais,1079703.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.01,Recebimento de receitas de acesso à rede e uso da marca,531133.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.02,Recebimento de dividendos,753691.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.03,Recebimento de recursos provinientes de cisão,0.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.04, Pagamento de despesas administrativas,-29102.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.05,Pagamento de despesas operacionais,0.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.06,Outros pagamentos,0.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.07,Tributos sobre folha recolhidos,-1406.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.08,Trbutos sobre receitas pagos,-58476.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.09,Imposto de renda e contribuição social pagos,-176744.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.10,Juros Recebidos,30079.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.11,Tributos sobre aplicações,-5215.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.12,Recebimento de juros sobre capital proprio,32803.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.01.13,Recebimento de redução de capital,2940.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.02,Caixa Líquido Atividades de Investimento,24500.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.02.01,Resgate de aplicações financeiras,0.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.02.02,Recebimento de redução de capital,24500.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.03,Caixa Líquido Atividades de Financiamento,-1006764.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.03.01,Pagamento de dividendos,-1006764.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.03.02,Redução de Capital,0.0,N,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.04,Variação Cambial s/ Caixa e Equivalentes,0.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.05,Aumento (Redução) de Caixa e Equivalentes,97439.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.05.01,Saldo Inicial de Caixa e Equivalentes,249773.0,S,Direct Cash Flow,YTD,CXSE3
22.543.331/0001-00,2019-09-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-09-30,6.05.02,Saldo Final de Caixa e Equivalentes,347212.0,S,Direct Cash Flow,YTD,CXSE3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01,Caixa Líquido Atividades Operacionais,1023022.0,S,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.01,Recebimentos de prêmios de resseguros,1461058.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.02,Recuperações de sinistros e comissões,207738.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.03,Outros pagamentos (recebimentos) operacionais,-90883.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.04,"Pagamentos de sinistros, benefícios, resgates e comissões",-1085246.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.05,Repasses de prêmios por cessão de riscos,-479495.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.06,Pagamentos de despesas e obrigações,-82729.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.07,Recebimento de aluguéis e venda de imóveis,12881.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.08,Recebimento de serviços,3593.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.09,Recebimentos de juros e dividendos,1452.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.10,Constituição (Resgates) de depósitos judiciais,666.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.11,Aplicações de investimentos ao valor justo por meio do resultado,-2489320.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.12,Vendas e resgates de investimentos ao valor justo por meio do resultado,3696333.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.01.13,Impostos e contribuições pagos,-133026.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.02,Caixa Líquido Atividades de Investimento,-1053512.0,S,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.02.01,Aplicações de investimentos disponíveis para venda,-1183309.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.02.02,Vendas e resgates de investimentos disponíveis para venda,123252.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.02.03,Recebimento de investimentos mantidos até o vencimento,0.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.02.04,Pagamento pela compra de Investimentos,14760.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.02.05,Pagamento pela compra de Imobilizado,-733.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.02.06,Pagamento pela compra de Intangível,-7409.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.02.07,Pagamento pela compra de Arrendamento Mercantil,-153.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.02.08,Recebimento pela venda de Investimentos,80.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.03,Caixa Líquido Atividades de Financiamento,0.0,S,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.04,Variação Cambial s/ Caixa e Equivalentes,23424.0,S,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.05,Aumento (Redução) de Caixa e Equivalentes,-7066.0,S,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.05.01,Saldo Inicial de Caixa e Equivalentes,27697.0,S,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-03-31,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,6.05.02,Saldo Final de Caixa e Equivalentes,20631.0,S,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01,Caixa Líquido Atividades Operacionais,1207884.0,S,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.01,Recebimentos de prêmios de resseguros,3704461.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.02,Recuperações de sinistros e comissões,628559.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.03,Outros pagamentos (recebimentos) operacionais,-280472.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.04,"Pagamentos de sinistros, benefícios, resgates e comissões",-3071094.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.05,Repasses de prêmios por cessão de riscos,-913503.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.06,Pagamentos de despesas e obrigações,-196382.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.07,Recebimento de aluguéis e venda de imóveis,32831.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.08,Recebimento de serviços,10371.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.09,Recebimentos de juros e dividendos,3197.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.10,Constituição (Resgates) de depósitos judiciais,1628.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.11,Aplicações de investimentos ao valor justo por meio do resultado,-4266549.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.12,Vendas e resgates de investimentos ao valor justo por meio do resultado,5767617.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.01.13,Impostos e contribuições pagos,-212780.0,N,Direct Cash Flow,YTD,IRBR3
33.376.989/0001-91,2019-06-30,DF Consolidado - Demonstração do Fluxo de Caixa (Método Direto),REAL,MIL,ÚLTIMO,2019-01-01,2019-06-30,6.02,Caixa Líquido Atividades de Investimento,-543306.0,S,Direct Cash Flow,YTD,IRBR3
