cnpj,base_date,financial_statement_type,currency,scale,order,start_of_period,end_of_period,id_account,account_description,value,account_status,type,start_month,end_month,period_type,ticker
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.99.01.02,PNA,1.11477,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.99.01.03,PNB,1.11477,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.99.02,Lucro Diluído por Ação,0.0,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.99.02.01,ON,1.00065,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.99.02.02,PNA,1.10072,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-03-31,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-01-01,2019-03-31,3.99.02.03,PNB,1.10072,N,Income Statement,01,03,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.01,Receita de Venda de Bens e/ou Serviços,6643410.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.02,Custo dos Bens e/ou Serviços Vendidos,-1574933.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.02.01,Energia comprada para revenda,-466358.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.02.02,Encargos para uso da rede elétrica,-575655.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.02.03,Combustível para produção de energia elétrica,-380904.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.02.04,Construção,-152016.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.03,Resultado Bruto,5068477.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04,Despesas/Receitas Operacionais,-4163143.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.01,Despesas com Vendas,0.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02,Despesas Gerais e Administrativas,-4265049.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02.01,"Pessoal, Material e Serviço",-1862664.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02.02,Participação de empregados e administradores nos resultados,0.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02.05,Resultado a compensar Itaipu,0.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02.06,Remuneração e ressarcimento,0.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02.07,Amortização,-414012.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02.08,Depreciação,-30761.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02.09,Provisões operacionais,-1506085.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02.10,Doações e contribuições,-50588.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02.11,Plano de Aposentadoria Extraodinária  (PAE),0.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02.12,Perdas - Lei 12.783/2013,0.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.02.13,Outras,-400939.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.04,Outras Receitas Operacionais,0.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.04.01,Efeito na Alienação de Participações Societárias,0.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.05,Outras Despesas Operacionais,0.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.04.06,Resultado de Equivalência Patrimonial,101906.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.05,Resultado Antes do Resultado Financeiro e dos Tributos,905334.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.06,Resultado Financeiro,411601.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.06.01,Receitas Financeiras,3266036.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.06.02,Despesas Financeiras,-2854435.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.07,Resultado Antes dos Tributos sobre o Lucro,1316935.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.08,Imposto de Renda e Contribuição Social sobre o Lucro,-1015757.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.08.01,Corrente,-614401.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.08.02,Diferido,-401356.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.09,Resultado Líquido das Operações Continuadas,301178.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.10,Resultado Líquido de Operações Descontinuadas,5259756.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.10.01,Lucro/Prejuízo Líquido das Operações Descontinuadas,5259756.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.10.02,Ganhos/Perdas Líquidas sobre Ativos de Operações Descontinuadas,0.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.11,Lucro/Prejuízo Consolidado do Período,5560934.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.11.01,Atribuído a Sócios da Empresa Controladora,5564669.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.11.02,Atribuído a Sócios Não Controladores,-3735.0,S,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.99,Lucro por Ação - (Reais / Ação),0.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.99.01,Lucro Básico por Ação,0.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.99.01.01,ON,4.03587,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.99.01.02,PNA,4.43946,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.99.01.03,PNB,4.43946,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.99.02,Lucro Diluído por Ação,0.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.99.02.01,ON,0.22222,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.99.02.02,PNA,0.24444,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.99.02.03,PNBR,0.24444,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-06-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-04-01,2019-06-30,3.99.02.04,PNB,0.0,N,Income Statement,04,06,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.01,Receita de Venda de Bens e/ou Serviços,7291326.0,S,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.02,Custo dos Bens e/ou Serviços Vendidos,-1867749.0,S,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.02.01,Energia comprada para revenda,-592068.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.02.02,Encargos sobre uso da rede elétrica,-447220.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.02.03,Combustível para produção de energia elétrica,-555851.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.02.04,Construção,-272610.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.03,Resultado Bruto,5423577.0,S,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04,Despesas/Receitas Operacionais,-3096393.0,S,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.01,Despesas com Vendas,0.0,S,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02,Despesas Gerais e Administrativas,-3567867.0,S,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02.01,"Pessoal, material e serviços",-1734827.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02.02,Participação de empregados e administradores nos resultados,0.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02.05,Resultado a compensar de Itaipu,0.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02.06,Remuneração de Ressarcimento,0.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02.07,Depreciação,-412001.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02.08,Amortização,-27195.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02.09,Provisões operacionais,-1092040.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02.10,Plano de readequação do quadro de pessoal,0.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02.11,Doações e contribuições,-48778.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02.12,Achados investigação,0.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.02.13,Outras,-253026.0,N,Income Statement,07,09,Quarter,ELET6
00.001.180/0001-26,2019-09-30,DF Consolidado - Demonstração do Resultado,REAL,MIL,ÚLTIMO,2019-07-01,2019-09-30,3.04.03,Perdas pela Não Recuperabilidade de Ativos,0.0,S,Income Statement,07,09,Quarter,ELET6
